newsloc	newspaper	location	issues mentioning wk	issues mentioning pr	issues mentioning gd
daily-yellowstone-journal_miles-city,-mont.	daily-yellowstone-journal	miles-city,-mont.	5	33	2
western-liberal_lordsburg,-n.m.	western-liberal	lordsburg,-n.m.	0	0	1
mexico-weekly-ledger_mexico,-mo.	mexico-weekly-ledger	mexico,-mo.	2	1	2
the-columbus-journal_columbus,-neb.	the-columbus-journal	columbus,-neb.	4	5	3
the-irish-standard_minneapolis,-minn.-;	the-irish-standard	minneapolis,-minn.-;	2	8	8
the-camden-chronicle_camden,-tenn.	the-camden-chronicle	camden,-tenn.	2	2	1
the-hood-river-glacier_hood-river,-or.	the-hood-river-glacier	hood-river,-or.	0	0	0
the-columbian_bloomsburg,-pa.	the-columbian	bloomsburg,-pa.	1	1	2
der-deutsche-correspondent_baltimore,-md.	der-deutsche-correspondent	baltimore,-md.	10	33	0
the-people's-journal_pickens,-s.c.	the-people's-journal	pickens,-s.c.	0	0	0
the-true-northerner_paw-paw,-mich.	the-true-northerner	paw-paw,-mich.	6	0	6
brenham-weekly-banner_brenham,-tex.	brenham-weekly-banner	brenham,-tex.	1	2	0
wheeling-sunday-register_wheeling,-w.-va.	wheeling-sunday-register	wheeling,-w.-va.	4	6	10
the-enterprise_wellington,-ohio	the-enterprise	wellington,-ohio	2	3	1
the-newtown-bee_newtown,-conn.	the-newtown-bee	newtown,-conn.	0	0	4
iron-county-news_cedar-city,-utah	iron-county-news	cedar-city,-utah	0	0	0
st-johnsbury-caledonian_st.-johnsbury,-vt.	st-johnsbury-caledonian	st.-johnsbury,-vt.	0	1	2
the-news-herald_hillsboro,-highland-co.,-ohio	the-news-herald	hillsboro,-highland-co.,-ohio	1	4	6
weekly-independent_elko,-nev.	weekly-independent	elko,-nev.	1	1	2
the-weekly-examiner_hartford,-conn.	the-weekly-examiner	hartford,-conn.	0	1	0
the-marlboro-democrat_bennettsville,-s.c.	the-marlboro-democrat	bennettsville,-s.c.	0	0	0
the-yakima-herald_north-yakima,-w.t.-[wash.]	the-yakima-herald	north-yakima,-w.t.-[wash.]	0	3	4
the-southern-herald_liberty,-miss.	the-southern-herald	liberty,-miss.	0	0	2
the-anaconda-standard_anaconda,-mont.	the-anaconda-standard	anaconda,-mont.	24	23	29
the-holt-county-sentinel_oregon,-mo.	the-holt-county-sentinel	oregon,-mo.	3	2	1
the-morning-news_savannah,-ga.	the-morning-news	savannah,-ga.	37	59	31
freie-presse-für-texas_san-antonio,-tex.	freie-presse-für-texas	san-antonio,-tex.	3	6	0
sacramento-daily-record-union_sacramento-[calif.]	sacramento-daily-record-union	sacramento-[calif.]	13	37	27
the-laurens-advertiser_laurens,-s.c.	the-laurens-advertiser	laurens,-s.c.	0	0	0
connecticut-western-news_salisbury,-litchfield-co.,-conn.	connecticut-western-news	salisbury,-litchfield-co.,-conn.	1	5	3
clinch-valley-news_jeffersonville,-va.	clinch-valley-news	jeffersonville,-va.	0	0	0
the-greenville-times_greenville,-miss.	the-greenville-times	greenville,-miss.	2	1	1
the-farmers'-union_memphis,-mo.	the-farmers'-union	memphis,-mo.	3	2	0
the-pioche-weekly-record_pioche,-nev.	the-pioche-weekly-record	pioche,-nev.	2	0	2
le-meschacébé_[lucy]-la.	le-meschacébé	[lucy]-la.	0	0	0
st-paul-daily-globe_saint-paul,-minn.	st-paul-daily-globe	saint-paul,-minn.	41	88	69
the-pascagoula-democrat-star_pascagoula,-miss.	the-pascagoula-democrat-star	pascagoula,-miss.	0	0	0
the-florida-agriculturist_deland,-fla.	the-florida-agriculturist	deland,-fla.	0	0	0
the-windham-county-reformer_battleboro,-vt.	the-windham-county-reformer	battleboro,-vt.	1	0	2
la-correspondencia-de-puerto-rico_san-juan,-p.r.	la-correspondencia-de-puerto-rico	san-juan,-p.r.	0	0	0
the-caucasian_clinton,-n.c.	the-caucasian	clinton,-n.c.	0	0	1
staunton-spectator_staunton,-va.	staunton-spectator	staunton,-va.	2	5	2
the-newberry-herald-and-news_newberry,-s.c.	the-newberry-herald-and-news	newberry,-s.c.	3	5	1
the-weekly-register_point-pleasant,-va.-[w.-va.]	the-weekly-register	point-pleasant,-va.-[w.-va.]	0	0	4
abilene-weekly-reflector_abilene,-kan.	abilene-weekly-reflector	abilene,-kan.	7	9	8
the-superior-times_superior,-wis.	the-superior-times	superior,-wis.	2	3	3
essex-county-herald_guildhall,-vt.	essex-county-herald	guildhall,-vt.	1	3	2
orange-county-observer_hillsborough,-n.c.	orange-county-observer	hillsborough,-n.c.	0	0	0
butler-citizen_butler,-pa.	butler-citizen	butler,-pa.	0	1	0
the-sedalia-weekly-bazoo_sedalia,-mo.	the-sedalia-weekly-bazoo	sedalia,-mo.	5	3	4
the-stark-county-democrat_canton,-ohio	the-stark-county-democrat	canton,-ohio	0	4	4
tombstone-daily-prospector_tombstone,-ariz.	tombstone-daily-prospector	tombstone,-ariz.	11	13	8
the-aegis-&-intelligencer_bel-air,-md.	the-aegis-&-intelligencer	bel-air,-md.	1	2	1
the-maryville-times_maryville,-tenn.	the-maryville-times	maryville,-tenn.	2	0	0
democratic-northwest_napoleon,-ohio	democratic-northwest	napoleon,-ohio	3	8	1
the-meeker-herald_meeker,-colo.	the-meeker-herald	meeker,-colo.	1	0	0
the-brookhaven-leader_brookhaven,-miss.	the-brookhaven-leader	brookhaven,-miss.	3	6	1
dakota-farmers'-leader_canton,-s.d.	dakota-farmers'-leader	canton,-s.d.	3	4	5
perrysburg-journal_perrysburg,-wood-co.,-o.-[ohio]	perrysburg-journal	perrysburg,-wood-co.,-o.-[ohio]	1	2	1
hopkinsville-kentuckian_hopkinsville,-ky.	hopkinsville-kentuckian	hopkinsville,-ky.	0	0	2
the-hot-springs-star_hot-spings-[hot-springs],-dakota-[dakota-territory,-i.e.-s.d.]	the-hot-springs-star	hot-spings-[hot-springs],-dakota-[dakota-territory,-i.e.-s.d.]	6	11	4
st-landry-democrat_opelousas,-la.	st-landry-democrat	opelousas,-la.	0	1	0
the-national-tribune_washington,-d.c.	the-national-tribune	washington,-d.c.	5	4	5
little-falls-transcript_little-falls,-morrison-county,-minn.	little-falls-transcript	little-falls,-morrison-county,-minn.	1	0	2
new-york-tribune_new-york-[n.y.]	new-york-tribune	new-york-[n.y.]	11	22	2
capital-city-courier_lincoln,-neb.	capital-city-courier	lincoln,-neb.	2	0	3
washington-standard_olympia,-wash.-territory	washington-standard	olympia,-wash.-territory	1	1	5
boletín-mercantil-de-puerto-rico_san-juan,-p.r.	boletín-mercantil-de-puerto-rico	san-juan,-p.r.	1	1	0
the-daily-morning-astorian_astoria,-oregon	the-daily-morning-astorian	astoria,-oregon	2	6	2
the-prison-mirror_stillwater,-minn.	the-prison-mirror	stillwater,-minn.	1	0	1
evening-capital_annapolis,-md.	evening-capital	annapolis,-md.	1	0	2
griggs-courier_cooperstown,-griggs-co.,-dak.-[n.d.]	griggs-courier	cooperstown,-griggs-co.,-dak.-[n.d.]	5	11	7
macon-beacon_macon,-miss.	macon-beacon	macon,-miss.	2	5	2
the-durham-daily-globe_durham,-n.c.	the-durham-daily-globe	durham,-n.c.	0	0	0
oxford-democrat_paris,-me.	oxford-democrat	paris,-me.	0	0	0
the-arizona-sentinel_arizona-city-[yuma],-yuma-county,-a.t.-[ariz.]	the-arizona-sentinel	arizona-city-[yuma],-yuma-county,-a.t.-[ariz.]	0	1	0
the-weekly-thibodaux-sentinel-and-journal-of-the-8th-senatorial-district_thibodaux,-lna.-[i.e.-la.]	the-weekly-thibodaux-sentinel-and-journal-of-the-8th-senatorial-district	thibodaux,-lna.-[i.e.-la.]	0	0	1
the-farmers'-alliance_lincoln,-nebraska	the-farmers'-alliance	lincoln,-nebraska	3	4	1
the-diamond-drill_crystal-falls,-iron-county,-mich.	the-diamond-drill	crystal-falls,-iron-county,-mich.	1	2	2
the-sun_morris,-stevens-county,-minn.	the-sun	morris,-stevens-county,-minn.	4	6	4
nevada-county-picayune_prescott,-nev.-county,-ark.	nevada-county-picayune	prescott,-nev.-county,-ark.	1	0	1
barbour-county-index_medicine-lodge,-kan.	barbour-county-index	medicine-lodge,-kan.	0	0	1
the-cape-girardeau-democrat_cape-girardeau,-mo.	the-cape-girardeau-democrat	cape-girardeau,-mo.	0	1	2
desoto-times_hernando,-miss.	desoto-times	hernando,-miss.	0	0	1
wheeling-register_wheeling,-w.-va.	wheeling-register	wheeling,-w.-va.	18	23	33
herald-and-news_west-randolph,-vt.	herald-and-news	west-randolph,-vt.	0	1	1
the-jasper-weekly-courier_jasper,-ind.	the-jasper-weekly-courier	jasper,-ind.	6	6	2
idaho-county-free-press_grangeville,-idaho-territory	idaho-county-free-press	grangeville,-idaho-territory	5	7	4
the-cecil-whig_elkton,-md.	the-cecil-whig	elkton,-md.	0	0	0
the-londonderry-sifter_south-londonderry,-vt.	the-londonderry-sifter	south-londonderry,-vt.	1	1	5
the-record-union_sacramento,-calif.	the-record-union	sacramento,-calif.	17	28	7
scranton-wochenblatt_scranton,-pa.	scranton-wochenblatt	scranton,-pa.	4	4	0
the-globe-republican_dodge-city,-kan.	the-globe-republican	dodge-city,-kan.	8	8	3
lyon-county-times_silver-city,-nev.	lyon-county-times	silver-city,-nev.	0	1	2
weekly-expositor_brockway-centre,-mich.	weekly-expositor	brockway-centre,-mich.	3	3	3
the-bennington-banner_bennington,-vt.	the-bennington-banner	bennington,-vt.	0	0	1
santa-fe-daily-new-mexican_santa-fe,-n.m.	santa-fe-daily-new-mexican	santa-fe,-n.m.	7	14	12
the-state-rights-democrat_albany,-linn-county,-oregon	the-state-rights-democrat	albany,-linn-county,-oregon	1	3	2
courier-democrat_langdon,-n.d.	courier-democrat	langdon,-n.d.	0	0	0
the-republican-journal_belfast,-me.	the-republican-journal	belfast,-me.	0	0	1
sturgis-advertiser_sturgis,-dakota-[s.d.]	sturgis-advertiser	sturgis,-dakota-[s.d.]	5	7	6
crittenden-press_marion,-ky.	crittenden-press	marion,-ky.	3	3	0
herald-and-tribune_jonesborough,-tenn.	herald-and-tribune	jonesborough,-tenn.	0	0	0
the-somerset-herald_somerset,-pa.	the-somerset-herald	somerset,-pa.	1	1	2
the-carbon-advocate_lehighton,-pa.	the-carbon-advocate	lehighton,-pa.	0	0	1
the-herald-advance_milbank,-s.d.	the-herald-advance	milbank,-s.d.	4	7	5
the-butler-weekly-times_butler,-mo.	the-butler-weekly-times	butler,-mo.	4	3	6
the-watchman-and-southron_sumter,-s.c.	the-watchman-and-southron	sumter,-s.c.	3	1	1
ameryka_toledo,-ohio	ameryka	toledo,-ohio	0	0	0
the-anderson-intelligencer_anderson-court-house,-s.c.	the-anderson-intelligencer	anderson-court-house,-s.c.	1	0	0
albuquerque-weekly-citizen_albuquerque,-n.m.	albuquerque-weekly-citizen	albuquerque,-n.m.	0	0	1
richmond-planet_richmond,-va.	richmond-planet	richmond,-va.	0	0	1
yorkville-enquirer_yorkville,-s.c.	yorkville-enquirer	yorkville,-s.c.	7	7	4
the-hickman-courier_hickman,-ky.	the-hickman-courier	hickman,-ky.	3	0	2
virginia-free-press_charlestown,-va.-[w.-va.]	virginia-free-press	charlestown,-va.-[w.-va.]	0	0	1
the-manitowoc-pilot_manitowoc,-wis.	the-manitowoc-pilot	manitowoc,-wis.	4	2	9
the-times_richmond,-va.	the-times	richmond,-va.	0	1	2
the-hazel-green-herald_hazel-green,-wolfe-county,-ky.	the-hazel-green-herald	hazel-green,-wolfe-county,-ky.	0	0	0
iron-county-register_ironton,-iron-county,-mo.	iron-county-register	ironton,-iron-county,-mo.	7	8	7
delaware-gazette-and-state-journal_wilmington,-del.	delaware-gazette-and-state-journal	wilmington,-del.	7	10	9
arizona-silver-belt_globe-city,-pinal-county,-ariz.	arizona-silver-belt	globe-city,-pinal-county,-ariz.	0	4	2
the-pacific-commercial-advertiser_honolulu,-hawaiian-islands	the-pacific-commercial-advertiser	honolulu,-hawaiian-islands	1	0	0
the-seattle-post-intelligencer_seattle,-wash.-terr.-[wash.]	the-seattle-post-intelligencer	seattle,-wash.-terr.-[wash.]	36	64	45
the-hocking-sentinel_logan,-ohio	the-hocking-sentinel	logan,-ohio	0	0	1
mower-county-transcript_lansing,-minn.	mower-county-transcript	lansing,-minn.	2	9	4
the-roanoke-times_roanoke,-va.	the-roanoke-times	roanoke,-va.	12	10	8
fair-play_ste.-genevieve-[mo.]	fair-play	ste.-genevieve-[mo.]	5	0	1
the-lebanon-express_lebanon,-linn-county,-or.	the-lebanon-express	lebanon,-linn-county,-or.	2	5	3
the-meridional_abbeville,-la.	the-meridional	abbeville,-la.	0	0	0
the-comet_johnson-city,-tenn.	the-comet	johnson-city,-tenn.	0	2	1
the-columbia-herald_columbia,-tenn.	the-columbia-herald	columbia,-tenn.	3	4	0
the-dickinson-press_dickinson,-stark-county,-d.t.-[i.e.-n.d.]	the-dickinson-press	dickinson,-stark-county,-d.t.-[i.e.-n.d.]	4	9	3
bismarck-weekly-tribune_bismarck,-dakota-[n.d.]	bismarck-weekly-tribune	bismarck,-dakota-[n.d.]	7	17	10
the-black-hills-union_rapid-city,-pennington-county,-dakota-[s.d.]	the-black-hills-union	rapid-city,-pennington-county,-dakota-[s.d.]	3	5	3
belmont-chronicle_st.-clairsville,-ohio	belmont-chronicle	st.-clairsville,-ohio	0	1	5
wiarus_winona,-minn.	wiarus	winona,-minn.	3	7	0
warren-sheaf_warren,-marshall-county,-minn.	warren-sheaf	warren,-marshall-county,-minn.	1	5	3
wessington-springs-herald_wessington-springs,-aurora-county,-dakota-[s.d.]	wessington-springs-herald	wessington-springs,-aurora-county,-dakota-[s.d.]	6	10	7
asheville-daily-citizen_asheville,-n.c.	asheville-daily-citizen	asheville,-n.c.	11	11	8
the-durham-recorder_durham,-n.c.	the-durham-recorder	durham,-n.c.	1	2	2
watertown-republican_watertown,-wis.	watertown-republican	watertown,-wis.	3	8	4
hermanner-volksblatt_hermann,-mo.	hermanner-volksblatt	hermann,-mo.	0	2	0
telegram-herald_[grand-rapids,-mich.	telegram-herald	[grand-rapids,-mich.	17	22	7
feliciana-sentinel_st.-francisville,-la.	feliciana-sentinel	st.-francisville,-la.	0	1	0
middlebury-register_middlebury,-vt.	middlebury-register	middlebury,-vt.	1	0	0
the-madison-daily-leader_madison,-s.d.	the-madison-daily-leader	madison,-s.d.	17	32	15
watauga-democrat_boone,-watauga-county,-n.c.	watauga-democrat	boone,-watauga-county,-n.c.	1	1	0
west-virginia-argus_kingwood,-w.-va.	west-virginia-argus	kingwood,-w.-va.	1	0	0
los-cerrillos-rustler_cerrillos,-n.m.	los-cerrillos-rustler	cerrillos,-n.m.	0	0	0
the-daily-critic_washington-city,-d.c.	the-daily-critic	washington-city,-d.c.	2	1	5
the-l'anse-sentinel_l'anse,-l.s.,-mich.	the-l'anse-sentinel	l'anse,-l.s.,-mich.	4	5	5
the-st-charles-herald_hahnville,-la.	the-st-charles-herald	hahnville,-la.	0	0	0
morning-appeal_carson-city,-nev.	morning-appeal	carson-city,-nev.	0	2	7
the-livingston-enterprise_livingston,-mont.	the-livingston-enterprise	livingston,-mont.	5	10	3
the-delta-independent_delta,-colo.	the-delta-independent	delta,-colo.	2	5	2
the-frankfort-roundabout_frankfort,-ky.	the-frankfort-roundabout	frankfort,-ky.	1	0	0
the-weekly-union-times_union-c.h.,-south-carolina	the-weekly-union-times	union-c.h.,-south-carolina	5	0	2
the-wilmington-daily-republican_wilmington,-del.	the-wilmington-daily-republican	wilmington,-del.	3	2	2
barton-county-democrat_great-bend,-kan.	barton-county-democrat	great-bend,-kan.	6	10	6
the-weekly-tribune_great-falls,-mont.	the-weekly-tribune	great-falls,-mont.	0	4	0
the-news-and-herald_winnsboro,-s.c.	the-news-and-herald	winnsboro,-s.c.	0	0	0
weekly-graphic_kirksville,-adair-co.,-mo.	weekly-graphic	kirksville,-adair-co.,-mo.	1	0	1
fort-worth-daily-gazette_fort-worth,-tex.	fort-worth-daily-gazette	fort-worth,-tex.	5	23	21
southern-standard_mcminnville,-tenn.	southern-standard	mcminnville,-tenn.	2	2	0
the-great-west_st.-paul,-minn.	the-great-west	st.-paul,-minn.	0	1	0
wood-county-reporter_grand-rapids-[i.e.-wisconsin-rapids],-wis.	wood-county-reporter	grand-rapids-[i.e.-wisconsin-rapids],-wis.	4	8	6
the-russellville-democrat_russellville,-ark.	the-russellville-democrat	russellville,-ark.	2	3	2
the-salt-lake-herald_salt-lake-city-[utah]	the-salt-lake-herald	salt-lake-city-[utah]	33	76	43
mineral-point-tribune_mineral-point,-wis.	mineral-point-tribune	mineral-point,-wis.	3	5	3
the-weiser-signal_weiser,-idaho	the-weiser-signal	weiser,-idaho	0	0	3
frostburg-mining-journal_frostburg,-md.	frostburg-mining-journal	frostburg,-md.	0	0	0
the-port-gibson-reveille_port-gibson,-miss.	the-port-gibson-reveille	port-gibson,-miss.	0	0	2
pullman-herald_pullman,-w.t.-[wash.]	pullman-herald	pullman,-w.t.-[wash.]	2	3	3
the-manchester-journal_manchester,-vt.	the-manchester-journal	manchester,-vt.	0	0	0
el-fronterizo_tucson,-ariz.	el-fronterizo	tucson,-ariz.	2	4	0
juniata-sentinel-and-republican_mifflintown,-juniata-county,-pa.	juniata-sentinel-and-republican	mifflintown,-juniata-county,-pa.	0	1	3
the-cambria-freeman_ebensburg,-pa.	the-cambria-freeman	ebensburg,-pa.	0	5	1
the-caldwell-tribune_caldwell,-idaho-territory-[idaho]	the-caldwell-tribune	caldwell,-idaho-territory-[idaho]	5	6	6
ellsworth-american_ellsworth,-me.	ellsworth-american	ellsworth,-me.	1	1	2
the-democrat_scotland-neck,-halifax-co.,-n.c.	the-democrat	scotland-neck,-halifax-co.,-n.c.	0	0	0
the-vermont-watchman_montpelier,-vt.	the-vermont-watchman	montpelier,-vt.	1	0	0
the-washington-bee_washington,-d.c.	the-washington-bee	washington,-d.c.	0	2	0
the-appeal_saint-paul,-minn.-;	the-appeal	saint-paul,-minn.-;	0	3	2
alma-record_alma,-mich.	alma-record	alma,-mich.	1	0	2
deseret-evening-news_great-salt-lake-city-[utah]	deseret-evening-news	great-salt-lake-city-[utah]	18	19	23
