newsloc	newspaper	location	state	issues mentioning wk	issues mentioning pr	issues mentioning gd
the-bolivar-bulletin_bolivar,-tenn.	the-bolivar-bulletin	bolivar,-tenn.	TN	1	3	1
the-forest-republican_tionesta,-pa.	the-forest-republican	tionesta,-pa.	PA	0	0	0
morris-tribune_morris,-minn.	morris-tribune	morris,-minn.	MN	3	9	3
fisherman-&-farmer_edenton,-n.c.	fisherman-&-farmer	edenton,-n.c.	NC	3	4	0
the-wichita-daily-eagle_wichita,-kan.	the-wichita-daily-eagle	wichita,-kan.	KS	29	59	44
the-red-cloud-chief_red-cloud,-webster-co.,-neb.	the-red-cloud-chief	red-cloud,-webster-co.,-neb.	NE	7	6	2
the-progressive-farmer_winston,-n.c.	the-progressive-farmer	winston,-n.c.	NC	1	2	2
fergus-falls-ugeblad_fergus-falls,-minn.	fergus-falls-ugeblad	fergus-falls,-minn.	MN	4	5	0
middletown-transcript_middletown,-del.	middletown-transcript	middletown,-del.	DE	0	0	4
the-manning-times_manning,-clarendon-county,-s.c.	the-manning-times	manning,-clarendon-county,-s.c.	SC	3	7	2
thomas-county-cat_colby,-kan.	thomas-county-cat	colby,-kan.	KS	2	8	6
orleans-county-monitor_barton,-vt.	orleans-county-monitor	barton,-vt.	VT	2	3	2
evening-star_washington,-d.c.	evening-star	washington,-d.c.	DC	46	74	44
phillipsburg-herald_phillipsburg,-kan.	phillipsburg-herald	phillipsburg,-kan.	KS	2	4	2
the-ocala-banner_ocala,-marion-county,-fla.	the-ocala-banner	ocala,-marion-county,-fla.	FL	0	0	0
arizona-republican_phoenix,-ariz.	arizona-republican	phoenix,-ariz.	AZ	25	25	29
the-climax_richmond,-madison-county,-ky.	the-climax	richmond,-madison-county,-ky.	KY	1	6	4
southern-live-stock-journal_starkville,-miss.	southern-live-stock-journal	starkville,-miss.	MS	0	0	0
lewiston-teller_lewiston,-north-idaho	lewiston-teller	lewiston,-north-idaho	ID	2	5	5
marble-hill-press_marbel-[sic]-hill,-mo.	marble-hill-press	marbel-[sic]-hill,-mo.	MO	0	2	2
iowa-county-democrat_mineral-point,-wis.	iowa-county-democrat	mineral-point,-wis.	WI	1	4	6
the-philipsburg-mail_philipsburg,-mont.	the-philipsburg-mail	philipsburg,-mont.	MT	0	4	2
the-austin-weekly-statesman_austin,-tex.	the-austin-weekly-statesman	austin,-tex.	TX	4	7	5
the-weekly-messenger_st.-martinsville-[i.e.-st.-martinville]-la.	the-weekly-messenger	st.-martinsville-[i.e.-st.-martinville]-la.	LA	0	0	0
the-mitchell-capital_mitchell,-dakota-[s.d.]	the-mitchell-capital	mitchell,-dakota-[s.d.]	SD	6	11	6
bellows-falls-times_bellows-falls,-vt.	bellows-falls-times	bellows-falls,-vt.	VT	0	0	0
la-voz-del-pueblo_santa-fe,-nuevo-méxico	la-voz-del-pueblo	santa-fe,-nuevo-méxico	NM	2	1	0
pierre-weekly-free-press_pierre,-s.d.	pierre-weekly-free-press	pierre,-s.d.	SD	3	6	2
wood-river-times_hailey,-idaho	wood-river-times	hailey,-idaho	ID	2	1	0
the-jersey-city-news_jersey-city-[n.j.]	the-jersey-city-news	jersey-city-[n.j.]	NJ	2	2	2
skaffaren_st.-paul,-minn.-;	skaffaren	st.-paul,-minn.-;	MN	3	7	0
rock-island-daily-argus_rock-island,-ill.	rock-island-daily-argus	rock-island,-ill.	IL	15	26	13
the-baltimore-county-union_towsontown,-md.	the-baltimore-county-union	towsontown,-md.	MD	0	0	0
deming-headlight_deming,-n.m.	deming-headlight	deming,-n.m.	NM	0	0	0
the-western-sentinel_winston-salem,-n.c.	the-western-sentinel	winston-salem,-n.c.	NC	1	0	1
the-camden-journal_camden,-s.c.	the-camden-journal	camden,-s.c.	SC	0	0	0
the-times_owosso,-mich.	the-times	owosso,-mich.	MI	4	5	5
dziennik-chicagoski_chicago-[ill.]	dziennik-chicagoski	chicago-[ill.]	IL	9	32	0
the-louisiana-democrat_alexandria,-la.	the-louisiana-democrat	alexandria,-la.	LA	1	0	0
semi-weekly-interior-journal_stanford,-ky.	semi-weekly-interior-journal	stanford,-ky.	KY	2	2	0
jamestown-weekly-alert_jamestown,-stutsman-county,-d.t.-[n.d.]	jamestown-weekly-alert	jamestown,-stutsman-county,-d.t.-[n.d.]	ND	5	11	6
alexandria-gazette_alexandria,-d.c.	alexandria-gazette	alexandria,-d.c.	DC	7	20	6
maryland-independent_port-tobacco,-md.	maryland-independent	port-tobacco,-md.	MD	1	1	0
the-sioux-county-journal_harrison,-nebraska	the-sioux-county-journal	harrison,-nebraska	NE	4	8	2
the-bossier-banner_bellevue,-bossier-parish,-la.	the-bossier-banner	bellevue,-bossier-parish,-la.	LA	0	0	1
south-branch-intelligencer_romney,-va.-[w.-va.]	south-branch-intelligencer	romney,-va.-[w.-va.]	WV	0	2	1
fort-worth-weekly-gazette_fort-worth,-tex.	fort-worth-weekly-gazette	fort-worth,-tex.	TX	0	3	5
the-critic_washington,-d.c.	the-critic	washington,-d.c.	DC	15	1	8
the-redwood-gazette_redwood-falls,-minn.	the-redwood-gazette	redwood-falls,-minn.	MN	4	8	1
der-fortschritt_new-ulm,-minn.	der-fortschritt	new-ulm,-minn.	MN	0	0	0
chariton-courier_keytesville,-chariton-county,-mo.	chariton-courier	keytesville,-chariton-county,-mo.	MO	4	2	4
the-gold-leaf_henderson,-n.c.	the-gold-leaf	henderson,-n.c.	NC	0	1	2
idaho-semi-weekly-world_idaho-city,-idaho-territory	idaho-semi-weekly-world	idaho-city,-idaho-territory	ID	1	3	4
the-corvallis-gazette_corvallis,-or.	the-corvallis-gazette	corvallis,-or.	OR	0	1	1
daily-independent_elko,-nev.	daily-independent	elko,-nev.	NV	2	8	11
the-st-mary-banner_franklin,-parish-of-st.-mary,-la.	the-st-mary-banner	franklin,-parish-of-st.-mary,-la.	LA	0	0	0
the-washburn-leader_washburn,-mclean-county,-n.d.	the-washburn-leader	washburn,-mclean-county,-n.d.	ND	6	15	10
the-magnolia-gazette_magnolia,-miss.	the-magnolia-gazette	magnolia,-miss.	MS	0	0	0
port-tobacco-times,-and-charles-county-advertiser_port-tobacco,-md.	port-tobacco-times,-and-charles-county-advertiser	port-tobacco,-md.	MD	0	0	0
kansas-agitator_garnett,-kan.	kansas-agitator	garnett,-kan.	KS	1	0	2
echo-de-l'ouest_minneapolis,-minn.	echo-de-l'ouest	minneapolis,-minn.	MN	2	3	1
the-grenada-sentinel_grenada,-miss.	the-grenada-sentinel	grenada,-miss.	MS	6	6	5
the-central-presbyterian_richmond,-va.	the-central-presbyterian	richmond,-va.	VA	0	0	0
the-daily-bulletin_honolulu-[hawaii]	the-daily-bulletin	honolulu-[hawaii]	HI	1	3	1
the-state-chronicle_raleigh,-n.c.	the-state-chronicle	raleigh,-n.c.	NC	2	0	0
eureka-weekly-sentinel_eureka,-nev.	eureka-weekly-sentinel	eureka,-nev.	NV	1	0	3
the-evening-world_new-york,-n.y.	the-evening-world	new-york,-n.y.	NY	8	3	6
oakes-weekly-republican_oakes,-dickey-county,-d.t.-[i.e.-n.d.]	oakes-weekly-republican	oakes,-dickey-county,-d.t.-[i.e.-n.d.]	ND	4	7	7
the-mccook-tribune_mccook,-neb.	the-mccook-tribune	mccook,-neb.	NE	3	13	5
omaha-daily-bee_omaha-[neb.]	omaha-daily-bee	omaha-[neb.]	NE	43	45	51
copiah-signal_hazlehurst,-miss.	copiah-signal	hazlehurst,-miss.	MS	0	0	0
the-weekly-intelligencer_lexington,-mo.	the-weekly-intelligencer	lexington,-mo.	MO	1	0	0
the-forrest-city-times_forrest-city,-ark.	the-forrest-city-times	forrest-city,-ark.	AR	5	3	4
news-and-citizen_morrisville,-vt.-;	news-and-citizen	morrisville,-vt.-;	VT	0	0	2
the-ohio-democrat_logan,-o.-[ohio]	the-ohio-democrat	logan,-o.-[ohio]	OH	1	2	4
the-kinsley-graphic_kinsley,-kan.	the-kinsley-graphic	kinsley,-kan.	KS	4	5	4
the-hope-pioneer_hope,-n.d.	the-hope-pioneer	hope,-n.d.	ND	5	9	9
lake-charles-commercial_lake-charles,-calcasieu-parish,-la.	lake-charles-commercial	lake-charles,-calcasieu-parish,-la.	LA	1	1	1
keowee-courier_pickens-court-house,-s.c.	keowee-courier	pickens-court-house,-s.c.	SC	0	0	0
the-iola-register_iola,-kan.	the-iola-register	iola,-kan.	KS	5	8	7
the-dalles-daily-chronicle_the-dalles,-or.	the-dalles-daily-chronicle	the-dalles,-or.	OR	10	30	9
the-evening-bulletin_maysville,-ky.	the-evening-bulletin	maysville,-ky.	KY	15	40	16
bridgeton-pioneer_bridgeton,-n.j.	bridgeton-pioneer	bridgeton,-n.j.	NJ	0	0	5
oxford-eagle_oxford,-lafayette-co.,-miss.	oxford-eagle	oxford,-lafayette-co.,-miss.	MI	7	6	1
the-charlotte-democrat_charlotte,-n.c.	the-charlotte-democrat	charlotte,-n.c.	NC	1	0	1
blue-grass-blade_lexington,-ky.	blue-grass-blade	lexington,-ky.	KY	0	0	0
fergus-county-argus_lewistown,-mont.	fergus-county-argus	lewistown,-mont.	MT	2	8	4
the-lincoln-county-leader_white-oaks,-lincoln-county,-n.m.	the-lincoln-county-leader	white-oaks,-lincoln-county,-n.m.	NM	1	0	0
waterbury-evening-democrat_waterbury,-conn.	waterbury-evening-democrat	waterbury,-conn.	CT	14	38	18
new-ulm-weekly-review_new-ulm,-minn.	new-ulm-weekly-review	new-ulm,-minn.	MN	3	11	6
emmons-county-record_williamsport,-d.t.-[i.e.-n.d.]	emmons-county-record	williamsport,-d.t.-[i.e.-n.d.]	ND	4	10	6
the-pickens-sentinel_pickens,-s.c.	the-pickens-sentinel	pickens,-s.c.	SC	2	2	2
lawrence-democrat_lawrenceburg,-tenn.	lawrence-democrat	lawrenceburg,-tenn.	TN	0	0	2
the-pioneer-express_pembina,-dakota-[n.d.]	the-pioneer-express	pembina,-dakota-[n.d.]	ND	1	2	3
the-opelousas-courier_opelousas,-la.	the-opelousas-courier	opelousas,-la.	LA	0	2	0
union-county-courier_elk-point,-union-county,-d.t.-[s.d.]	union-county-courier	elk-point,-union-county,-d.t.-[s.d.]	SD	4	4	5
daily-tobacco-leaf-chronicle_clarksville,-tenn.	daily-tobacco-leaf-chronicle	clarksville,-tenn.	TN	23	45	27
the-sully-county-watchman_clifton,-dakota-[s.d.]	the-sully-county-watchman	clifton,-dakota-[s.d.]	SD	4	9	5
arizona-weekly-citizen_tucson,-ariz	arizona-weekly-citizen	tucson,-ariz	AZ	4	11	7
the-press_stafford-springs,-conn.	the-press	stafford-springs,-conn.	CT	1	1	2
the-hartford-herald_hartford,-ky.	the-hartford-herald	hartford,-ky.	KY	2	0	1
dodge-city-times_dodge-city,-kan.	dodge-city-times	dodge-city,-kan.	KS	4	7	6
the-lafayette-advertiser_vermilionville-[i.e.-lafayette],-la.	the-lafayette-advertiser	vermilionville-[i.e.-lafayette],-la.	LA	2	0	1
peninsula-enterprise_accomac,-va.	peninsula-enterprise	accomac,-va.	VA	0	0	0
the-middleburgh-post_middleburgh,-snyder-co.,-pa.	the-middleburgh-post	middleburgh,-snyder-co.,-pa.	PA	0	0	1
aberdeen-herald_aberdeen,-chehalis-county,-w.t.	aberdeen-herald	aberdeen,-chehalis-county,-w.t.	WA	0	1	1
the-breckenridge-news_cloverport,-ky.	the-breckenridge-news	cloverport,-ky.	KY	0	0	0
the-intelligencer_lexington,-mo.	the-intelligencer	lexington,-mo.	MO	1	2	5
the-big-stone-post_big-stone-gap,-va.	the-big-stone-post	big-stone-gap,-va.	VA	4	3	3
alpena-weekly-argus_alpena,-mich.	alpena-weekly-argus	alpena,-mich.	MI	0	2	0
the-midland-journal_rising-sun,-md.	the-midland-journal	rising-sun,-md.	MD	0	0	0
the-fairfield-news-and-herald_winnsboro,-s.c.	the-fairfield-news-and-herald	winnsboro,-s.c.	SC	5	4	2
western-kansas-world_wakeeney,-kan.	western-kansas-world	wakeeney,-kan.	KS	4	8	7
the-wahpeton-times_wahpeton,-richland-county,-dakota-[n.d.]	the-wahpeton-times	wahpeton,-richland-county,-dakota-[n.d.]	ND	4	8	7
vermont-phœnix_brattleboro,-vt.	vermont-phœnix	brattleboro,-vt.	VT	2	3	1
arizona-weekly-enterprise_florence,-pinal-county,-arizona-territory	arizona-weekly-enterprise	florence,-pinal-county,-arizona-territory	AZ	0	1	5
st-tammany-farmer_covington,-la.	st-tammany-farmer	covington,-la.	LA	0	0	0
süd-california-deutsche-zeitung_san-diego,-calif.	süd-california-deutsche-zeitung	san-diego,-calif.	CA	0	4	0
the-portland-daily-press_portland,-me.	the-portland-daily-press	portland,-me.	ME	14	37	16
the-semi-weekly-tribune_great-falls,-mont.	the-semi-weekly-tribune	great-falls,-mont.	MT	7	18	10
baxter-springs-news_baxter-springs,-kan.	baxter-springs-news	baxter-springs,-kan.	KS	5	4	3
evening-journal_wilmington,-del.	evening-journal	wilmington,-del.	DE	13	30	11
shenandoah-herald_woodstock,-va.	shenandoah-herald	woodstock,-va.	VA	1	2	2
the-saline-county-journal_salina,-kan.	the-saline-county-journal	salina,-kan.	KS	1	2	1
the-united-opinion_bradford,-vt.	the-united-opinion	bradford,-vt.	VT	1	0	3
iuka-reporter_iuka,-miss.	iuka-reporter	iuka,-miss.	MS	1	3	0
the-iowa-plain-dealer_new-oregon,-howard-county,-iowa	the-iowa-plain-dealer	new-oregon,-howard-county,-iowa	IA	4	9	4
the-sun_new-york-[n.y.]	the-sun	new-york-[n.y.]	NY	41	36	38
elmore-bulletin_rocky-bar,-idaho	elmore-bulletin	rocky-bar,-idaho	ID	0	0	0
the-mt-sterling-advocate_mt.-sterling,-ky.	the-mt-sterling-advocate	mt.-sterling,-ky.	KY	0	0	1
the-daily-state-chronicle_raleigh,-n.c.	the-daily-state-chronicle	raleigh,-n.c.	NC	6	12	1
burlington-weekly-free-press_burlington,-vt.	burlington-weekly-free-press	burlington,-vt.	VT	1	0	0
the-indianapolis-journal_indianapolis-[ind.]	the-indianapolis-journal	indianapolis-[ind.]	IN	43	89	55
evening-capital-journal_salem,-or.	evening-capital-journal	salem,-or.	OR	9	18	6
the-democratic-press_ravenna,-o.-[ohio]	the-democratic-press	ravenna,-o.-[ohio]	OH	2	2	0
the-north-platte-tribune_north-platte,-neb.	the-north-platte-tribune	north-platte,-neb.	NE	0	1	0
arizona-weekly-journal-miner_prescott,-ariz.	arizona-weekly-journal-miner	prescott,-ariz.	AZ	1	4	2
the-ketchum-keystone_ketchum,-idaho	the-ketchum-keystone	ketchum,-idaho	ID	6	0	5
the-princeton-union_princeton,-minn.	the-princeton-union	princeton,-minn.	MN	4	11	6
the-critic-and-record_washington,-d.c.	the-critic-and-record	washington,-d.c.	DC	1	0	0
the-advocate_meriden,-kan.	the-advocate	meriden,-kan.	KS	0	0	0
the-abbeville-press-and-banner_abbeville,-s.c.	the-abbeville-press-and-banner	abbeville,-s.c.	SC	5	8	4
flat-top-monitor_bramwell,-w.-va.	flat-top-monitor	bramwell,-w.-va.	VA	0	0	0
gazeta-de-puerto-rico_[san-juan,-p.r.	gazeta-de-puerto-rico	[san-juan,-p.r.	PR	0	0	0
the-rugby-news_rugby,-morgan-county,-tenn.	the-rugby-news	rugby,-morgan-county,-tenn.	TN	0	0	1
the-lamar-register_lamar,-colo.	the-lamar-register	lamar,-colo.	CO	0	0	0
the-hawaiian-gazette_honolulu-[oahu,-hawaii]	the-hawaiian-gazette	honolulu-[oahu,-hawaii]	HI	0	1	0
crawford-avalanche_grayling,-mich.	crawford-avalanche	grayling,-mich.	MI	6	4	6
the-indiana-state-sentinel_indianapolis	the-indiana-state-sentinel	indianapolis	IN	5	1	1
the-democratic-advocate_westminster,-md.	the-democratic-advocate	westminster,-md.	MD	0	2	2
freeland-tribune_freeland,-pa.	freeland-tribune	freeland,-pa.	PA	2	0	1
the-new-north-west_deer-lodge,-mont.	the-new-north-west	deer-lodge,-mont.	MT	0	8	6
the-worthington-advance_worthington,-minn.	the-worthington-advance	worthington,-minn.	MN	4	8	1
st-landry-clarion_opelousas,-la.	st-landry-clarion	opelousas,-la.	LA	0	1	0
the-kimball-graphic_kimball,-brule-county,-dakota-[s.d.]	the-kimball-graphic	kimball,-brule-county,-dakota-[s.d.]	SD	3	7	9
sierra-county-advocate_kingston,-n.m.	sierra-county-advocate	kingston,-n.m.	NM	1	1	0
the-lexington-record_lexington,-ky.	the-lexington-record	lexington,-ky.	KY	0	0	0
the-st-johns-herald_st.-johns,-apache-county,-arizona-territory-[ariz.]	the-st-johns-herald	st.-johns,-apache-county,-arizona-territory-[ariz.]	AZ	4	4	5
savannah-courier_savannah,-tenn.	savannah-courier	savannah,-tenn.	TN	0	0	0
tombstone-epitaph_tombstone,-ariz.	tombstone-epitaph	tombstone,-ariz.	AZ	7	7	6
rio-grande-republican_las-cruces,-n.m.	rio-grande-republican	las-cruces,-n.m.	NM	0	0	0
shepherdstown-register_shepherdstown,-va.-[w.-va.]	shepherdstown-register	shepherdstown,-va.-[w.-va.]	WV	0	1	0
the-state-republican_jefferson-city,-mo.	the-state-republican	jefferson-city,-mo.	MO	4	1	2
the-colfax-chronicle_colfax,-grant-parish,-la.	the-colfax-chronicle	colfax,-grant-parish,-la.	LA	0	1	0
the-arizona-champion_peach-springs,-mohave-county,-a.t.-[ariz.]	the-arizona-champion	peach-springs,-mohave-county,-a.t.-[ariz.]	AZ	0	1	1
yazoo-city-herald_yazoo-city,-miss.	yazoo-city-herald	yazoo-city,-miss.	MS	0	0	0
the-sunday-herald-and-weekly-national-intelligencer_washington-[d.c.]	the-sunday-herald-and-weekly-national-intelligencer	washington-[d.c.]	DC	4	7	5
the-helena-independent_helena,-mont.	the-helena-independent	helena,-mont.	MT	33	57	31
workmen's-advocate_new-haven,-conn.	workmen's-advocate	new-haven,-conn.	CT	0	0	0
the-wheeling-daily-intelligencer_wheeling,-w.-va.	the-wheeling-daily-intelligencer	wheeling,-w.-va.	WV	18	23	22
indian-chieftain_vinita,-indian-territory-[okla.]	indian-chieftain	vinita,-indian-territory-[okla.]	OK	5	1	1
spirit-of-jefferson_charles-town,-va.-[w.-va.]	spirit-of-jefferson	charles-town,-va.-[w.-va.]	WV	0	0	0
saint-mary's-beacon_leonard-town,-md.	saint-mary's-beacon	leonard-town,-md.	MD	1	2	1
the-islander_friday-harbor,-wash.	the-islander	friday-harbor,-wash.	WA	0	0	0
der-westbote_columbus,-ohio	der-westbote	columbus,-ohio	OH	4	3	0
turner-county-herald_hurley,-dakota-[s.d.]	turner-county-herald	hurley,-dakota-[s.d.]	SD	1	5	6
mohave-county-miner_mineral-park,-a.t.-[ariz.]	mohave-county-miner	mineral-park,-a.t.-[ariz.]	AZ	4	2	8
idaho-news_blackfoot,-idaho	idaho-news	blackfoot,-idaho	ID	1	4	3
spokane-falls-review_spokane-falls,-w.t.-[wash.]	spokane-falls-review	spokane-falls,-w.t.-[wash.]	WA	0	4	3
catoctin-clarion_mechanicstown,-md.	catoctin-clarion	mechanicstown,-md.	MD	1	0	1
richmond-dispatch_richmond,-va.	richmond-dispatch	richmond,-va.	VA	9	11	2
morning-journal-and-courier_new-haven-[conn.]	morning-journal-and-courier	new-haven-[conn.]	CT	24	27	17
the-morning-call_san-francisco-[calif.]	the-morning-call	san-francisco-[calif.]	CA	37	55	40
los-angeles-herald_los-angeles-[calif.]	los-angeles-herald	los-angeles-[calif.]	CA	30	68	43
the-dalles-weekly-chronicle_the-dalles,-or.	the-dalles-weekly-chronicle	the-dalles,-or.	OR	7	9	5
pittsburg-dispatch_pittsburg-[pa.]	pittsburg-dispatch	pittsburg-[pa.]	PA	40	51	65
the-dispatch_provo-city,-utah	the-dispatch	provo-city,-utah	UT	6	0	6
sullivan-republican_laporte,-pa.	sullivan-republican	laporte,-pa.	PA	0	3	0
