newsloc	newspaper	location	state	issues mentioning wk OR pr OR gd
"the-greenville-times_greenville,-miss."	the-greenville-times	"greenville,-miss."	MS	3
"the-helena-independent_helena,-mont."	the-helena-independent	"helena,-mont."	MT	82
"the-morning-news_savannah,-ga."	the-morning-news	"savannah,-ga."	GA	81
"the-colfax-chronicle_colfax,-grant-parish,-la."	the-colfax-chronicle	"colfax,-grant-parish,-la."	LA	1
"the-corvallis-gazette_corvallis,-or."	the-corvallis-gazette	"corvallis,-or."	OR	2
"the-new-north-west_deer-lodge,-mont."	the-new-north-west	"deer-lodge,-mont."	MT	11
"the-lebanon-express_lebanon,-linn-county,-or."	the-lebanon-express	"lebanon,-linn-county,-or."	OR	7
"the-comet_johnson-city,-tenn."	the-comet	"johnson-city,-tenn."	TN	3
"barton-county-democrat_great-bend,-kan."	barton-county-democrat	"great-bend,-kan."	KS	14
"peninsula-enterprise_accomac,-va."	peninsula-enterprise	"accomac,-va."	VA	0
"the-mccook-tribune_mccook,-neb."	the-mccook-tribune	"mccook,-neb."	NE	17
"turner-county-herald_hurley,-dakota-[s.d.]"	turner-county-herald	"hurley,-dakota-[s.d.]"	SD	9
"the-weekly-thibodaux-sentinel-and-journal-of-the-8th-senatorial-district_thibodaux,-lna.-[i.e.-la.]"	the-weekly-thibodaux-sentinel-and-journal-of-the-8th-senatorial-district	"thibodaux,-lna.-[i.e.-la.]"	LA	1
"the-charlotte-democrat_charlotte,-n.c."	the-charlotte-democrat	"charlotte,-n.c."	NC	1
"the-evening-bulletin_maysville,-ky."	the-evening-bulletin	"maysville,-ky."	KY	49
"the-pascagoula-democrat-star_pascagoula,-miss."	the-pascagoula-democrat-star	"pascagoula,-miss."	MS	0
"the-philipsburg-mail_philipsburg,-mont."	the-philipsburg-mail	"philipsburg,-mont."	MT	6
"shenandoah-herald_woodstock,-va."	shenandoah-herald	"woodstock,-va."	VA	4
"fisherman-&-farmer_edenton,-n.c."	fisherman-&-farmer	"edenton,-n.c."	NC	6
"the-red-cloud-chief_red-cloud,-webster-co.,-neb."	the-red-cloud-chief	"red-cloud,-webster-co.,-neb."	NE	11
"der-westbote_columbus,-ohio"	der-westbote	"columbus,-ohio"	OH	7
"aberdeen-herald_aberdeen,-chehalis-county,-w.t."	aberdeen-herald	"aberdeen,-chehalis-county,-w.t."	WA	2
"iron-county-register_ironton,-iron-county,-mo."	iron-county-register	"ironton,-iron-county,-mo."	MO	11
"the-bolivar-bulletin_bolivar,-tenn."	the-bolivar-bulletin	"bolivar,-tenn."	TN	4
"port-tobacco-times,-and-charles-county-advertiser_port-tobacco,-md."	"port-tobacco-times,-and-charles-county-advertiser"	"port-tobacco,-md."	MD	0
the-jersey-city-news_jersey-city-[n.j.]	the-jersey-city-news	jersey-city-[n.j.]	NJ	5
"richmond-dispatch_richmond,-va."	richmond-dispatch	"richmond,-va."	VA	20
"the-mitchell-capital_mitchell,-dakota-[s.d.]"	the-mitchell-capital	"mitchell,-dakota-[s.d.]"	SD	13
"the-livingston-enterprise_livingston,-mont."	the-livingston-enterprise	"livingston,-mont."	MT	13
"the-hartford-herald_hartford,-ky."	the-hartford-herald	"hartford,-ky."	KY	2
"el-fronterizo_tucson,-ariz."	el-fronterizo	"tucson,-ariz."	AZ	4
"orleans-county-monitor_barton,-vt."	orleans-county-monitor	"barton,-vt."	VT	4
"the-durham-recorder_durham,-n.c."	the-durham-recorder	"durham,-n.c."	NC	3
"the-prison-mirror_stillwater,-minn."	the-prison-mirror	"stillwater,-minn."	MN	2
"the-redwood-gazette_redwood-falls,-minn."	the-redwood-gazette	"redwood-falls,-minn."	MN	8
"the-north-platte-tribune_north-platte,-neb."	the-north-platte-tribune	"north-platte,-neb."	NE	1
"connecticut-western-news_salisbury,-litchfield-co.,-conn."	connecticut-western-news	"salisbury,-litchfield-co.,-conn."	CT	7
"evening-journal_wilmington,-del."	evening-journal	"wilmington,-del."	DE	41
"the-brookhaven-leader_brookhaven,-miss."	the-brookhaven-leader	"brookhaven,-miss."	MS	7
"perrysburg-journal_perrysburg,-wood-co.,-o.-[ohio]"	perrysburg-journal	"perrysburg,-wood-co.,-o.-[ohio]"	OH	3
"the-arizona-sentinel_arizona-city-[yuma],-yuma-county,-a.t.-[ariz.]"	the-arizona-sentinel	"arizona-city-[yuma],-yuma-county,-a.t.-[ariz.]"	AZ	1
"the-superior-times_superior,-wis."	the-superior-times	"superior,-wis."	WI	7
"the-democrat_scotland-neck,-halifax-co.,-n.c."	the-democrat	"scotland-neck,-halifax-co.,-n.c."	NC	0
"the-hot-springs-star_hot-spings-[hot-springs],-dakota-[dakota-territory,-i.e.-s.d.]"	the-hot-springs-star	"hot-spings-[hot-springs],-dakota-[dakota-territory,-i.e.-s.d.]"	SD	13
"middletown-transcript_middletown,-del."	middletown-transcript	"middletown,-del."	DE	4
"the-mt-sterling-advocate_mt.-sterling,-ky."	the-mt-sterling-advocate	"mt.-sterling,-ky."	KY	1
"idaho-county-free-press_grangeville,-idaho-territory"	idaho-county-free-press	"grangeville,-idaho-territory"	ID	10
"the-intelligencer_lexington,-mo."	the-intelligencer	"lexington,-mo."	MO	6
"the-iowa-plain-dealer_new-oregon,-howard-county,-iowa"	the-iowa-plain-dealer	"new-oregon,-howard-county,-iowa"	IA	10
"the-hope-pioneer_hope,-n.d."	the-hope-pioneer	"hope,-n.d."	ND	13
"la-correspondencia-de-puerto-rico_san-juan,-p.r."	la-correspondencia-de-puerto-rico	"san-juan,-p.r."	PR	0
"the-farmers'-alliance_lincoln,-nebraska"	the-farmers'-alliance	"lincoln,-nebraska"	NE	7
"the-farmers'-union_memphis,-mo."	the-farmers'-union	"memphis,-mo."	MO	5
"the-bossier-banner_bellevue,-bossier-parish,-la."	the-bossier-banner	"bellevue,-bossier-parish,-la."	LA	1
"the-newtown-bee_newtown,-conn."	the-newtown-bee	"newtown,-conn."	CT	4
morning-journal-and-courier_new-haven-[conn.]	morning-journal-and-courier	new-haven-[conn.]	CT	48
"the-abbeville-press-and-banner_abbeville,-s.c."	the-abbeville-press-and-banner	"abbeville,-s.c."	SC	12
"clinch-valley-news_jeffersonville,-va."	clinch-valley-news	"jeffersonville,-va."	VA	0
"the-saline-county-journal_salina,-kan."	the-saline-county-journal	"salina,-kan."	KS	3
"the-semi-weekly-tribune_great-falls,-mont."	the-semi-weekly-tribune	"great-falls,-mont."	MT	20
"vermont-phœnix_brattleboro,-vt."	vermont-phœnix	"brattleboro,-vt."	VT	6
"the-weiser-signal_weiser,-idaho"	the-weiser-signal	"weiser,-idaho"	ID	3
"freeland-tribune_freeland,-pa."	freeland-tribune	"freeland,-pa."	PA	3
"the-black-hills-union_rapid-city,-pennington-county,-dakota-[s.d.]"	the-black-hills-union	"rapid-city,-pennington-county,-dakota-[s.d.]"	SD	9
"abilene-weekly-reflector_abilene,-kan."	abilene-weekly-reflector	"abilene,-kan."	KS	14
"the-l'anse-sentinel_l'anse,-l.s.,-mich."	the-l'anse-sentinel	"l'anse,-l.s.,-mich."	MI	10
"ellsworth-american_ellsworth,-me."	ellsworth-american	"ellsworth,-me."	ME	2
"arizona-silver-belt_globe-city,-pinal-county,-ariz."	arizona-silver-belt	"globe-city,-pinal-county,-ariz."	AZ	6
"the-holt-county-sentinel_oregon,-mo."	the-holt-county-sentinel	"oregon,-mo."	MO	6
"st-tammany-farmer_covington,-la."	st-tammany-farmer	"covington,-la."	LA	0
"the-national-tribune_washington,-d.c."	the-national-tribune	"washington,-d.c."	DC	8
"daily-tobacco-leaf-chronicle_clarksville,-tenn."	daily-tobacco-leaf-chronicle	"clarksville,-tenn."	TN	61
sacramento-daily-record-union_sacramento-[calif.]	sacramento-daily-record-union	sacramento-[calif.]	CA	44
"the-durham-daily-globe_durham,-n.c."	the-durham-daily-globe	"durham,-n.c."	NC	0
"tombstone-epitaph_tombstone,-ariz."	tombstone-epitaph	"tombstone,-ariz."	AZ	9
"oxford-democrat_paris,-me."	oxford-democrat	"paris,-me."	ME	0
los-angeles-herald_los-angeles-[calif.]	los-angeles-herald	los-angeles-[calif.]	CA	81
the-indiana-state-sentinel_indianapolis	the-indiana-state-sentinel	indianapolis	IN	6
"the-state-chronicle_raleigh,-n.c."	the-state-chronicle	"raleigh,-n.c."	NC	2
"the-wheeling-daily-intelligencer_wheeling,-w.-va."	the-wheeling-daily-intelligencer	"wheeling,-w.-va."	WV	44
"elmore-bulletin_rocky-bar,-idaho"	elmore-bulletin	"rocky-bar,-idaho"	ID	0
the-sun_new-york-[n.y.]	the-sun	new-york-[n.y.]	NY	75
"mineral-point-tribune_mineral-point,-wis."	mineral-point-tribune	"mineral-point,-wis."	WI	8
"washington-standard_olympia,-wash.-territory"	washington-standard	"olympia,-wash.-territory"	WA	6
"savannah-courier_savannah,-tenn."	savannah-courier	"savannah,-tenn."	TN	0
"feliciana-sentinel_st.-francisville,-la."	feliciana-sentinel	"st.-francisville,-la."	LA	1
"the-sioux-county-journal_harrison,-nebraska"	the-sioux-county-journal	"harrison,-nebraska"	NE	8
"the-state-republican_jefferson-city,-mo."	the-state-republican	"jefferson-city,-mo."	MO	6
"union-county-courier_elk-point,-union-county,-d.t.-[s.d.]"	union-county-courier	"elk-point,-union-county,-d.t.-[s.d.]"	SD	8
"maryland-independent_port-tobacco,-md."	maryland-independent	"port-tobacco,-md."	MD	1
"the-roanoke-times_roanoke,-va."	the-roanoke-times	"roanoke,-va."	VA	26
"virginia-free-press_charlestown,-va.-[w.-va.]"	virginia-free-press	"charlestown,-va.-[w.-va.]"	WV	1
"the-breckenridge-news_cloverport,-ky."	the-breckenridge-news	"cloverport,-ky."	KY	0
"the-wilmington-daily-republican_wilmington,-del."	the-wilmington-daily-republican	"wilmington,-del."	DE	5
"the-meridional_abbeville,-la."	the-meridional	"abbeville,-la."	LA	0
"southern-standard_mcminnville,-tenn."	southern-standard	"mcminnville,-tenn."	TN	3
"the-camden-journal_camden,-s.c."	the-camden-journal	"camden,-s.c."	SC	0
"the-daily-critic_washington-city,-d.c."	the-daily-critic	"washington-city,-d.c."	DC	7
"arizona-weekly-citizen_tucson,-ariz"	arizona-weekly-citizen	"tucson,-ariz"	AZ	14
"the-state-rights-democrat_albany,-linn-county,-oregon"	the-state-rights-democrat	"albany,-linn-county,-oregon"	OR	5
"the-opelousas-courier_opelousas,-la."	the-opelousas-courier	"opelousas,-la."	LA	2
"orange-county-observer_hillsborough,-n.c."	orange-county-observer	"hillsborough,-n.c."	NC	0
"alpena-weekly-argus_alpena,-mich."	alpena-weekly-argus	"alpena,-mich."	MI	2
"iuka-reporter_iuka,-miss."	iuka-reporter	"iuka,-miss."	MS	4
"crittenden-press_marion,-ky."	crittenden-press	"marion,-ky."	KY	4
"the-weekly-register_point-pleasant,-va.-[w.-va.]"	the-weekly-register	"point-pleasant,-va.-[w.-va.]"	WV	4
"mexico-weekly-ledger_mexico,-mo."	mexico-weekly-ledger	"mexico,-mo."	MO	4
"st-paul-daily-globe_saint-paul,-minn."	st-paul-daily-globe	"saint-paul,-minn."	MN	104
"butler-citizen_butler,-pa."	butler-citizen	"butler,-pa."	PA	1
"the-portland-daily-press_portland,-me."	the-portland-daily-press	"portland,-me."	ME	47
"the-kinsley-graphic_kinsley,-kan."	the-kinsley-graphic	"kinsley,-kan."	KS	8
"bellows-falls-times_bellows-falls,-vt."	bellows-falls-times	"bellows-falls,-vt."	VT	0
"belmont-chronicle_st.-clairsville,-ohio"	belmont-chronicle	"st.-clairsville,-ohio"	OH	6
"the-dickinson-press_dickinson,-stark-county,-d.t.-[i.e.-n.d.]"	the-dickinson-press	"dickinson,-stark-county,-d.t.-[i.e.-n.d.]"	ND	11
"the-wahpeton-times_wahpeton,-richland-county,-dakota-[n.d.]"	the-wahpeton-times	"wahpeton,-richland-county,-dakota-[n.d.]"	ND	12
"the-herald-advance_milbank,-s.d."	the-herald-advance	"milbank,-s.d."	SD	9
"süd-california-deutsche-zeitung_san-diego,-calif."	süd-california-deutsche-zeitung	"san-diego,-calif."	CA	4
"daily-independent_elko,-nev."	daily-independent	"elko,-nev."	NV	20
"daily-yellowstone-journal_miles-city,-mont."	daily-yellowstone-journal	"miles-city,-mont."	MT	34
"the-western-sentinel_winston-salem,-n.c."	the-western-sentinel	"winston-salem,-n.c."	NC	2
"the-critic_washington,-d.c."	the-critic	"washington,-d.c."	DC	22
"bridgeton-pioneer_bridgeton,-n.j."	bridgeton-pioneer	"bridgeton,-n.j."	NJ	5
"the-lafayette-advertiser_vermilionville-[i.e.-lafayette],-la."	the-lafayette-advertiser	"vermilionville-[i.e.-lafayette],-la."	LA	3
"the-globe-republican_dodge-city,-kan."	the-globe-republican	"dodge-city,-kan."	KS	13
"the-big-stone-post_big-stone-gap,-va."	the-big-stone-post	"big-stone-gap,-va."	VA	5
"west-virginia-argus_kingwood,-w.-va."	west-virginia-argus	"kingwood,-w.-va."	WV	1
"marble-hill-press_marbel-[sic]-hill,-mo."	marble-hill-press	"marbel-[sic]-hill,-mo."	MO	4
"the-central-presbyterian_richmond,-va."	the-central-presbyterian	"richmond,-va."	VA	0
"gazeta-de-puerto-rico_[san-juan,-p.r."	gazeta-de-puerto-rico	"[san-juan,-p.r."	PR	0
"the-southern-herald_liberty,-miss."	the-southern-herald	"liberty,-miss."	MS	2
"the-louisiana-democrat_alexandria,-la."	the-louisiana-democrat	"alexandria,-la."	LA	1
"the-enterprise_wellington,-ohio"	the-enterprise	"wellington,-ohio"	OH	5
"wheeling-register_wheeling,-w.-va."	wheeling-register	"wheeling,-w.-va."	WV	47
"frostburg-mining-journal_frostburg,-md."	frostburg-mining-journal	"frostburg,-md."	MD	0
"the-manning-times_manning,-clarendon-county,-s.c."	the-manning-times	"manning,-clarendon-county,-s.c."	SC	8
"santa-fe-daily-new-mexican_santa-fe,-n.m."	santa-fe-daily-new-mexican	"santa-fe,-n.m."	NM	27
"burlington-weekly-free-press_burlington,-vt."	burlington-weekly-free-press	"burlington,-vt."	VT	1
"fort-worth-daily-gazette_fort-worth,-tex."	fort-worth-daily-gazette	"fort-worth,-tex."	TX	34
"the-sedalia-weekly-bazoo_sedalia,-mo."	the-sedalia-weekly-bazoo	"sedalia,-mo."	MO	8
"fergus-county-argus_lewistown,-mont."	fergus-county-argus	"lewistown,-mont."	MT	11
"the-pacific-commercial-advertiser_honolulu,-hawaiian-islands"	the-pacific-commercial-advertiser	"honolulu,-hawaiian-islands"	HI	1
"rio-grande-republican_las-cruces,-n.m."	rio-grande-republican	"las-cruces,-n.m."	NM	0
"baxter-springs-news_baxter-springs,-kan."	baxter-springs-news	"baxter-springs,-kan."	KS	9
"the-times_owosso,-mich."	the-times	"owosso,-mich."	MI	8
"the-columbus-journal_columbus,-neb."	the-columbus-journal	"columbus,-neb."	NE	8
"brenham-weekly-banner_brenham,-tex."	brenham-weekly-banner	"brenham,-tex."	TX	3
"ameryka_toledo,-ohio"	ameryka	"toledo,-ohio"	OH	0
"herald-and-tribune_jonesborough,-tenn."	herald-and-tribune	"jonesborough,-tenn."	TN	0
"iron-county-news_cedar-city,-utah"	iron-county-news	"cedar-city,-utah"	UT	0
"keowee-courier_pickens-court-house,-s.c."	keowee-courier	"pickens-court-house,-s.c."	SC	0
"nevada-county-picayune_prescott,-nev.-county,-ark."	nevada-county-picayune	"prescott,-nev.-county,-ark."	AR	2
"evening-star_washington,-d.c."	evening-star	"washington,-d.c."	DC	84
"the-marlboro-democrat_bennettsville,-s.c."	the-marlboro-democrat	"bennettsville,-s.c."	SC	0
"the-hocking-sentinel_logan,-ohio"	the-hocking-sentinel	"logan,-ohio"	OH	1
"scranton-wochenblatt_scranton,-pa."	scranton-wochenblatt	"scranton,-pa."	PA	6
"western-kansas-world_wakeeney,-kan."	western-kansas-world	"wakeeney,-kan."	KS	12
"the-kimball-graphic_kimball,-brule-county,-dakota-[s.d.]"	the-kimball-graphic	"kimball,-brule-county,-dakota-[s.d.]"	SD	11
the-salt-lake-herald_salt-lake-city-[utah]	the-salt-lake-herald	salt-lake-city-[utah]	UT	86
"western-liberal_lordsburg,-n.m."	western-liberal	"lordsburg,-n.m."	NM	1
"the-democratic-press_ravenna,-o.-[ohio]"	the-democratic-press	"ravenna,-o.-[ohio]"	OH	4
the-indianapolis-journal_indianapolis-[ind.]	the-indianapolis-journal	indianapolis-[ind.]	IN	102
"the-anderson-intelligencer_anderson-court-house,-s.c."	the-anderson-intelligencer	"anderson-court-house,-s.c."	SC	1
"idaho-news_blackfoot,-idaho"	idaho-news	"blackfoot,-idaho"	ID	7
omaha-daily-bee_omaha-[neb.]	omaha-daily-bee	omaha-[neb.]	NE	89
"the-press_stafford-springs,-conn."	the-press	"stafford-springs,-conn."	CT	3
"the-aegis-&-intelligencer_bel-air,-md."	the-aegis-&-intelligencer	"bel-air,-md."	MD	3
"the-arizona-champion_peach-springs,-mohave-county,-a.t.-[ariz.]"	the-arizona-champion	"peach-springs,-mohave-county,-a.t.-[ariz.]"	AZ	2
"arizona-weekly-enterprise_florence,-pinal-county,-arizona-territory"	arizona-weekly-enterprise	"florence,-pinal-county,-arizona-territory"	AZ	6
"alexandria-gazette_alexandria,-d.c."	alexandria-gazette	"alexandria,-d.c."	DC	25
"flat-top-monitor_bramwell,-w.-va."	flat-top-monitor	"bramwell,-w.-va."	WV	0
"the-ocala-banner_ocala,-marion-county,-fla."	the-ocala-banner	"ocala,-marion-county,-fla."	FL	0
"the-islander_friday-harbor,-wash."	the-islander	"friday-harbor,-wash."	WA	0
"courier-democrat_langdon,-n.d."	courier-democrat	"langdon,-n.d."	ND	0
"wessington-springs-herald_wessington-springs,-aurora-county,-dakota-[s.d.]"	wessington-springs-herald	"wessington-springs,-aurora-county,-dakota-[s.d.]"	SD	12
"the-pioneer-express_pembina,-dakota-[n.d.]"	the-pioneer-express	"pembina,-dakota-[n.d.]"	ND	4
"the-hazel-green-herald_hazel-green,-wolfe-county,-ky."	the-hazel-green-herald	"hazel-green,-wolfe-county,-ky."	KY	0
"juniata-sentinel-and-republican_mifflintown,-juniata-county,-pa."	juniata-sentinel-and-republican	"mifflintown,-juniata-county,-pa."	PA	3
"the-critic-and-record_washington,-d.c."	the-critic-and-record	"washington,-d.c."	DC	1
"spokane-falls-review_spokane-falls,-w.t.-[wash.]"	spokane-falls-review	"spokane-falls,-w.t.-[wash.]"	WA	6
"news-and-citizen_morrisville,-vt.-;"	news-and-citizen	"morrisville,-vt.-;"	VT	2
"the-columbia-herald_columbia,-tenn."	the-columbia-herald	"columbia,-tenn."	TN	4
"the-diamond-drill_crystal-falls,-iron-county,-mich."	the-diamond-drill	"crystal-falls,-iron-county,-mich."	MI	5
"copiah-signal_hazlehurst,-miss."	copiah-signal	"hazlehurst,-miss."	MS	0
"the-laurens-advertiser_laurens,-s.c."	the-laurens-advertiser	"laurens,-s.c."	SC	0
"the-camden-chronicle_camden,-tenn."	the-camden-chronicle	"camden,-tenn."	TN	4